subject_id	subject_label	predicate_id	object_id	object_label	match_type	confidence
schema:MediaObject	Multimedia					
schema:DigitalDocument	Document					
schema:ScholarlyArticle	Publication	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#journalarticle		SSSOM:HumanCurated	1
coar:NHD0-W6SY	Questionnaire/survey					
schema:Dataset	Dataset	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#dataset		SSSOM:HumanCurated	1
schema:ImageObject	Image	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#image		SSSOM:HumanCurated	1
sio:SIO_000510.	Model	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#model		SSSOM:HumanCurated	1
coar2:c_ab20	Data management plan	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#outputmanagementplan		SSSOM:HumanCurated	1
schema:DefinedTermSet	Terminology Artifact					
obo:NCIT_C42753	Protocol or Workflow					
coar2:c_1843	Other Object Type					
schema:CreativeWork	Object Type Agnostic					
	Object Type Not Found					
schema:PhysicalObject	Physical object/material	skos:exactMatch	https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#physicalobject		SSSOM:HumanCurated	1
schema:SoftwareSourceCode	Software Source Code		https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#software			
schema:SoftwareApplication	Software Application	skos:exactMatch			SSSOM:HumanCurated	1
